Estimator: PolynomialKernel
Total number of parameters: 150
Time started: 20240801-114558
Validation parameters: [2500, 500, 500] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: MinMax
Normalisation type for targets: None
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 14.06511378288269 seconds.
Estimated time to finish is 210.97670674324036 seconds.
--------------------------------------------------------------------------------
((1, 9, 1e-15, 0), nan)
((1, 9, 1e-05, 0), 76.89155555507875)
((1, 9, 0.0001, 0), 91.43043096301398)
((1, 9, 1e-06, 0), 54.13436093985367)
((1, 9, 1e-13, 0), nan)
((1, 9, 0.01, 0), 56.994108016933964)
((1, 9, 1e-11, 0), 1.0604976748376726e+161)
((1, 9, 1e-14, 0), nan)
((1, 9, 0.1, 0), 64.8270486030647)
((1, 9, 1e-10, 0), 2.0266151685716818e+73)
((1, 9, 1e-07, 0), 60.23463942810163)
((1, 9, 1e-09, 0), 3.066857068823032e+41)
((1, 10, 1e-15, 0), nan)
((1, 10, 1e-14, 0), nan)
((1, 10, 1e-13, 0), nan)
((1, 10, 1e-12, 0), 9.488174290500266e+297)
((1, 10, 1e-07, 0), 70.81482242522029)
((1, 10, 1e-08, 0), 11845191610.586908)
((1, 10, 1e-10, 0), 5.998558517563635e+81)
((1, 10, 1e-09, 0), 2.7574657440597507e+42)
((1, 10, 1e-06, 0), 53.82855907989409)
((1, 10, 1e-11, 0), 6.022350241402511e+152)
((1, 10, 1e-05, 0), 64.99145144557484)
((1, 10, 0.001, 0), 86.15513731406193)
((1, 10, 0.0001, 0), 89.34308580173759)
((1, 10, 0.01, 0), 63.17975390284514)
((1, 10, 0.1, 0), 61.17139879237997)
--------------------------------------------------------------------------------
Cross validation total time taken: 42.65182447433472 seconds.
