Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240613-030517
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: MinMax
Normalisation type for targets: NormStd
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 52.48901844024658 seconds.
Estimated time to finish is 6298.68221282959 seconds.
--------------------------------------------------------------------------------
((2, 9, 0.0001, 0), 1.2347746172720881)
((2, 9, 0.01, 0), 1.2345087792649374)
((2, 9, 0.1, 0), 1.2322204135000159)
((2, 9, 1e-06, 0), 1.2347772904972654)
((2, 10, 1e-14, 0), 1.2558357109590839)
((2, 10, 1e-15, 0), 1.2558357109590839)
((2, 10, 1e-13, 0), 1.2558357109590839)
((2, 10, 1e-12, 0), 1.2558357109589646)
((2, 10, 1e-10, 0), 1.25583571095747)
((2, 10, 1e-11, 0), 1.2558357109586977)
((2, 10, 1e-09, 0), 1.2558357109451035)
((2, 10, 1e-08, 0), 1.2558357108170728)
((2, 10, 1e-06, 0), 1.2558356967807995)
((2, 10, 1e-05, 0), 1.2558355691771026)
((2, 10, 1e-07, 0), 1.2558357095414023)
((2, 10, 0.001, 0), 1.255821538403455)
((2, 10, 0.0001, 0), 1.255834293194984)
((2, 10, 0.01, 0), 1.255694491858411)
((2, 10, 0.1, 0), 1.2544725155855738)
((2, 11, 1e-12, 0), 1.2783634861962478)
((2, 11, 1e-15, 0), 1.278363486196081)
((2, 11, 1e-13, 0), 1.278363486196081)
((2, 11, 1e-11, 0), 1.2783634861962354)
((2, 11, 1e-14, 0), 1.278363486196081)
((2, 11, 1e-10, 0), 1.2783634861953534)
((2, 11, 1e-07, 0), 1.2783634853580093)
((2, 11, 1e-09, 0), 1.2783634861879247)
((2, 11, 1e-08, 0), 1.2783634861120632)
((2, 11, 1e-06, 0), 1.2783634778141433)
((2, 11, 0.0001, 0), 1.2783626480207015)
((2, 11, 0.001, 0), 1.278355106690881)
((2, 11, 0.1, 0), 1.277549690643842)
((2, 11, 0.01, 0), 1.278279915572273)
((2, 11, 1e-05, 0), 1.278363402376544)
((2, 12, 1e-15, 0), 1.3031563292899984)
((2, 12, 1e-14, 0), 1.3031563292899984)
((2, 12, 1e-13, 0), 1.3031563292899984)
((2, 12, 1e-12, 0), 1.3031563292894934)
((2, 12, 1e-10, 0), 1.3031563292888506)
((2, 12, 1e-11, 0), 1.303156329289757)
((2, 12, 1e-09, 0), 1.303156329283793)
((2, 12, 1e-08, 0), 1.3031563292358332)
((2, 12, 1e-07, 0), 1.303156328749107)
((2, 12, 1e-06, 0), 1.3031563238860069)
((2, 12, 1e-05, 0), 1.3031562752527832)
((2, 12, 0.0001, 0), 1.3031557889275538)
((2, 12, 0.001, 0), 1.3031509268055794)
((2, 12, 0.01, 0), 1.3031024177123334)
((2, 12, 0.1, 0), 1.3026283330025916)
((2, 13, 1e-15, 0), 1.332124631282421)
((2, 13, 1e-11, 0), 1.3321246312824342)
((2, 13, 1e-13, 0), 1.332124631282421)
((2, 13, 1e-12, 0), 1.3321246312825843)
((2, 13, 1e-14, 0), 1.332124631282421)
((2, 13, 1e-10, 0), 1.3321246312818922)
