Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240612-124703
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: MinMax
Normalisation type for targets: None
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 67.67242097854614 seconds.
Estimated time to finish is 8120.690517425537 seconds.
--------------------------------------------------------------------------------
((2, 12, 1e-15, 0), nan)
((2, 12, 1e-14, 0), nan)
((2, 12, 1e-11, 0), nan)
((2, 12, 1e-13, 0), nan)
((2, 12, 1e-08, 0), nan)
((2, 12, 1e-06, 0), nan)
((2, 12, 1e-12, 0), nan)
((2, 12, 1e-07, 0), nan)
((2, 12, 1e-09, 0), nan)
((2, 12, 0.01, 0), 0.07906687142302718)
((2, 12, 1e-10, 0), nan)
((2, 12, 1e-05, 0), nan)
((2, 12, 0.0001, 0), nan)
((2, 12, 0.001, 0), nan)
((2, 12, 0.1, 0), 0.029784835888765387)
((2, 13, 1e-11, 0), nan)
((2, 13, 1e-13, 0), nan)
((2, 13, 1e-10, 0), nan)
((2, 13, 1e-12, 0), nan)
((2, 13, 1e-07, 0), nan)
((2, 13, 1e-15, 0), nan)
((2, 13, 1e-05, 0), nan)
((2, 13, 1e-14, 0), nan)
((2, 13, 1e-08, 0), nan)
((2, 13, 1e-06, 0), nan)
((2, 13, 0.0001, 0), nan)
((2, 13, 1e-09, 0), nan)
((2, 13, 0.1, 0), 0.027068921431169464)
((2, 14, 1e-11, 0), nan)
((2, 14, 1e-12, 0), nan)
((2, 14, 1e-13, 0), nan)
((2, 13, 0.01, 0), 0.08383900839217887)
((2, 14, 1e-10, 0), nan)
((2, 13, 0.001, 0), 0.0857103610252444)
((2, 14, 1e-14, 0), nan)
((2, 14, 1e-08, 0), nan)
((2, 14, 1e-09, 0), nan)
((2, 14, 1e-07, 0), nan)
((2, 14, 1e-15, 0), nan)
((2, 14, 1e-06, 0), nan)
((2, 14, 0.001, 0), 0.08698485524321797)
((2, 14, 0.0001, 0), 0.07222078048580657)
((2, 14, 1e-05, 0), nan)
((2, 14, 0.1, 0), 0.023375800018086864)
((2, 14, 0.01, 0), 0.06816888380298951)
((2, 15, 1e-15, 0), nan)
((2, 15, 1e-13, 0), nan)
((2, 15, 1e-14, 0), nan)
((2, 15, 1e-12, 0), nan)
((2, 15, 1e-11, 0), nan)
((2, 15, 1e-10, 0), nan)
((2, 15, 1e-07, 0), nan)
((2, 15, 1e-08, 0), nan)
((2, 15, 1e-09, 0), nan)
((2, 15, 1e-06, 0), nan)
((2, 15, 1e-05, 0), nan)
((2, 15, 0.001, 0), 0.11734349819464256)
((2, 15, 0.0001, 0), 0.07934083916897888)
((2, 15, 0.1, 0), 0.018318767255112826)
((2, 16, 1e-14, 0), nan)
((2, 16, 1e-15, 0), nan)
((2, 16, 1e-13, 0), nan)
((2, 15, 0.01, 0), 0.047845741061268585)
((2, 16, 1e-12, 0), nan)
((2, 16, 1e-07, 0), nan)
((2, 16, 1e-09, 0), nan)
((2, 16, 1e-06, 0), nan)
((2, 16, 1e-05, 0), nan)
((2, 16, 0.0001, 0), nan)
((2, 16, 1e-08, 0), nan)
((2, 16, 1e-10, 0), nan)
((2, 16, 1e-11, 0), nan)
((2, 16, 0.001, 0), nan)
((2, 16, 0.1, 0), 0.014807707461654223)
((2, 16, 0.01, 0), 0.028754401691516752)
((2, 17, 1e-13, 0), nan)
((2, 17, 1e-15, 0), nan)
((2, 17, 1e-10, 0), nan)
((2, 17, 1e-12, 0), nan)
((2, 17, 1e-08, 0), nan)
((2, 17, 1e-11, 0), nan)
((2, 17, 1e-14, 0), nan)
((2, 17, 1e-07, 0), nan)
((2, 17, 1e-06, 0), nan)
((2, 17, 1e-05, 0), nan)
((2, 17, 0.001, 0), nan)
((2, 17, 0.1, 0), 0.01831914815315685)
((2, 17, 0.0001, 0), nan)
((2, 17, 1e-09, 0), nan)
((2, 18, 1e-15, 0), nan)
((2, 18, 1e-14, 0), nan)
((2, 17, 0.01, 0), 0.054200183149724725)
((2, 18, 1e-13, 0), nan)
((2, 18, 1e-11, 0), nan)
((2, 18, 1e-12, 0), nan)
((2, 18, 1e-10, 0), nan)
((2, 18, 1e-07, 0), nan)
((2, 18, 1e-09, 0), nan)
((2, 18, 1e-08, 0), nan)
((2, 18, 1e-06, 0), nan)
((2, 18, 1e-05, 0), nan)
((2, 18, 0.0001, 0), nan)
((2, 18, 0.1, 0), 0.03085571004796962)
((2, 18, 0.001, 0), nan)
((2, 18, 0.01, 0), nan)
((2, 19, 1e-15, 0), nan)
((2, 19, 1e-14, 0), nan)
((2, 19, 1e-13, 0), nan)
