Estimator: Volterra
Total number of parameters: 1215
Time started: 20240612-072448
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: NormStd
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 12.282181978225708 seconds.
Estimated time to finish is 147.3861837387085 seconds.
--------------------------------------------------------------------------------
((0.1, 0.7, 1e-05, 100), 1.3563371407642544)
((0.1, 0.7, 0.001, 100), 1.0182100034637263)
((0.1, 0.7, 0.01, 100), 1.095747038644115)
((0.1, 0.7, 0.1, 100), 1.1358909984211791)
((0.1, 0.8, 1e-10, 100), 2.4967674381264473)
((0.1, 0.8, 1e-09, 100), 2.4959450355475292)
((0.1, 0.8, 1e-15, 100), 2.4968589394123213)
((0.1, 0.8, 1e-08, 100), 2.487830485135465)
((0.1, 0.8, 1e-14, 100), 2.4968589315510803)
((0.1, 0.8, 1e-07, 100), 2.4159443752727676)
((0.1, 0.8, 1e-11, 100), 2.4968497900562805)
((0.1, 0.8, 1e-05, 100), 1.4736616712431716)
((0.1, 0.8, 1e-13, 100), 2.4968588488670553)
((0.1, 0.8, 1e-06, 100), 2.057101702564285)
((0.1, 0.8, 0.1, 100), 1.1341408847187509)
((0.1, 0.8, 0.001, 100), 1.0187027280637404)
((0.1, 0.9, 1e-14, 100), 2.7240478696496533)
((0.1, 0.8, 1e-12, 100), 2.496858025551049)
((0.1, 0.9, 1e-10, 100), 2.723938393813297)
((0.1, 0.9, 1e-15, 100), 2.724047879368301)
((0.1, 0.9, 1e-11, 100), 2.7240369303790044)
((0.1, 0.9, 1e-12, 100), 2.724046785546082)
((0.1, 0.9, 1e-06, 100), 2.2059177281763818)
((0.1, 0.9, 1e-08, 100), 2.713250459092084)
((0.1, 0.8, 0.01, 100), 1.0878472849518839)
((0.1, 0.8, 0.0001, 100), 1.110822503188515)
((0.1, 0.9, 0.001, 100), 1.0223394001178563)
((0.1, 0.9, 1e-09, 100), 2.722954400136353)
((0.1, 0.9, 0.0001, 100), 1.119568565516254)
((0.1, 0.9, 0.01, 100), 1.0927997426975204)
((0.1, 0.9, 0.1, 100), 1.1347035728286687)
((0.1, 0.9, 1e-13, 100), 2.724047771360733)
((0.1, 0.9, 1e-07, 100), 2.627630358811027)
((0.2, 0.1, 1e-14, 100), 2.0296716520218143)
((0.2, 0.1, 1e-08, 100), 1.1837925162686447)
((0.2, 0.1, 1e-13, 100), 2.02947972851109)
((0.2, 0.1, 1e-10, 100), 1.8785035207809522)
((0.2, 0.1, 1e-06, 100), 1.0035094621414609)
((0.2, 0.1, 1e-09, 100), 1.5190739344982753)
((0.2, 0.1, 1e-12, 100), 2.0275064019382203)
((0.2, 0.1, 0.01, 100), 1.1447226906879964)
((0.2, 0.1, 1e-11, 100), 2.0087618792100015)
((0.2, 0.1, 0.001, 100), 1.1524704959373337)
((0.2, 0.1, 1e-05, 100), 1.0640732584304828)
((0.2, 0.1, 1e-15, 100), 2.029692370901285)
((0.2, 0.1, 1e-07, 100), 1.0230181846226838)
((0.2, 0.1, 0.0001, 100), 1.1435186908420332)
((0.1, 0.9, 1e-05, 100), 1.531689758937993)
((0.2, 0.1, 0.1, 100), 1.1418072431209096)
((0.2, 0.2, 1e-15, 100), 1.915604931028798)
((0.2, 0.2, 1e-14, 100), 1.9156044673686121)
((0.2, 0.2, 1e-13, 100), 1.915600208227724)
((0.2, 0.2, 1e-11, 100), 1.9151274603315394)
((0.2, 0.2, 1e-12, 100), 1.9155571680635035)
((0.2, 0.2, 1e-06, 100), 1.038153314783735)
((0.2, 0.2, 1e-10, 100), 1.9108773580800036)
((0.2, 0.2, 1e-08, 100), 1.6629918440169895)
((0.2, 0.2, 1e-05, 100), 0.993026397915161)
((0.2, 0.2, 0.001, 100), 1.126990544746835)
((0.2, 0.3, 1e-15, 100), 1.8463659262207237)
((0.2, 0.2, 0.1, 100), 1.142364630155617)
((0.2, 0.3, 1e-14, 100), 1.84636587636463)
((0.2, 0.2, 1e-07, 100), 1.2772363917466023)
((0.2, 0.2, 1e-09, 100), 1.8724709361507)
((0.2, 0.2, 0.01, 100), 1.1464293784142325)
((0.2, 0.3, 1e-11, 100), 1.8463181104749407)
((0.2, 0.3, 1e-12, 100), 1.8463611399344084)
((0.2, 0.3, 1e-13, 100), 1.8463654469863537)
((0.2, 0.3, 1e-09, 100), 1.8416403560575503)
((0.2, 0.2, 0.0001, 100), 1.0384523275349367)
((0.2, 0.3, 0.0001, 100), 0.9974186125926142)
((0.2, 0.3, 1e-10, 100), 1.8458883389503207)
((0.2, 0.3, 1e-07, 100), 1.5982496651484581)
((0.2, 0.3, 0.001, 100), 1.0651809941766597)
((0.2, 0.3, 1e-06, 100), 1.2244012746263349)
((0.2, 0.3, 0.01, 100), 1.1357053935055317)
((0.2, 0.3, 1e-08, 100), 1.803426298544159)
((0.2, 0.3, 1e-05, 100), 1.0102679640937906)
((0.2, 0.4, 1e-15, 100), 1.808132282839237)
((0.2, 0.4, 1e-10, 100), 1.8080354592734138)
((0.2, 0.4, 1e-11, 100), 1.8081225996788137)
((0.2, 0.4, 1e-14, 100), 1.8081322751788567)
((0.2, 0.4, 1e-13, 100), 1.8081321865247357)
((0.2, 0.4, 1e-09, 100), 1.8071661957767653)
((0.2, 0.3, 0.1, 100), 1.1424039850437386)
((0.2, 0.4, 1e-12, 100), 1.8081313152048863)
((0.2, 0.4, 1e-07, 100), 1.7291971794866885)
((0.2, 0.4, 1e-06, 100), 1.453292831921987)
((0.2, 0.4, 0.001, 100), 1.020877122737844)
((0.2, 0.4, 0.1, 100), 1.1402987030008847)
((0.2, 0.5, 1e-13, 100), 1.7962885557564434)
((0.2, 0.4, 1e-05, 100), 1.1053116236738063)
((0.2, 0.5, 1e-15, 100), 1.796288586391287)
((0.2, 0.4, 0.0001, 100), 0.993009585127721)
((0.2, 0.4, 1e-08, 100), 1.7986794192189008)
((0.2, 0.5, 1e-14, 100), 1.7962885837444258)
((0.2, 0.5, 1e-12, 100), 1.7962882780568763)
((0.2, 0.4, 0.01, 100), 1.110847802967171)
((0.2, 0.5, 1e-11, 100), 1.7962854949901725)
((0.2, 0.5, 1e-10, 100), 1.7962576684904075)
((0.2, 0.5, 1e-09, 100), 1.7959796190022566)
((0.2, 0.5, 1e-08, 100), 1.7932204432847372)
((0.2, 0.5, 1e-06, 100), 1.6081009312490102)
((0.2, 0.5, 1e-07, 100), 1.7675468973909614)
((0.2, 0.6, 1e-14, 100), 1.809613171662248)
((0.2, 0.5, 1e-05, 100), 1.2489533062873837)
((0.2, 0.5, 0.0001, 100), 1.0180031564867562)
((0.2, 0.6, 1e-13, 100), 1.8096131593645925)
((0.2, 0.5, 0.001, 100), 1.0035167974353554)
((0.2, 0.6, 1e-10, 100), 1.8095992942760322)
((0.2, 0.5, 0.01, 100), 1.080096484606512)
((0.2, 0.6, 1e-12, 100), 1.8096130344966173)
((0.2, 0.6, 1e-15, 100), 1.809613173038122)
((0.2, 0.6, 1e-08, 100), 1.8082298836505888)
((0.2, 0.5, 0.1, 100), 1.1352897950386853)
((0.2, 0.6, 1e-11, 100), 1.8096117852025528)
((0.2, 0.6, 1e-09, 100), 1.8094744256371513)
((0.2, 0.6, 1e-05, 100), 1.387964760696827)
((0.2, 0.6, 0.0001, 100), 1.0737279806958064)
((0.2, 0.6, 0.01, 100), 1.0541564727118353)
((0.2, 0.6, 1e-07, 100), 1.7961799698111474)
((0.2, 0.7, 1e-14, 100), 1.850519213160967)
((0.2, 0.7, 1e-15, 100), 1.850519213913028)
((0.2, 0.6, 1e-06, 100), 1.703073290247826)
((0.2, 0.6, 0.001, 100), 1.0023178343285224)
((0.2, 0.7, 1e-13, 100), 1.8505192057798463)
((0.2, 0.7, 1e-11, 100), 1.8505183778696535)
((0.2, 0.7, 1e-12, 100), 1.8505191303356974)
((0.2, 0.7, 1e-08, 100), 1.8496846249332954)
((0.2, 0.7, 0.001, 100), 1.0129612104240473)
((0.2, 0.7, 0.01, 100), 1.038024474415598)
((0.2, 0.7, 1e-06, 100), 1.7796119645514126)
((0.2, 0.8, 1e-14, 100), 1.9341137245441598)
((0.2, 0.7, 1e-09, 100), 1.850435611623278)
((0.2, 0.6, 0.1, 100), 1.1279239545993753)
((0.2, 0.8, 1e-15, 100), 1.9341137250931095)
((0.2, 0.7, 1e-05, 100), 1.5062872738713033)
((0.2, 0.8, 1e-12, 100), 1.934113656138328)
((0.2, 0.7, 1e-07, 100), 1.8423131099375698)
((0.2, 0.7, 0.0001, 100), 1.1458067848988303)
((0.2, 0.8, 1e-10, 100), 1.9341068193670439)
((0.2, 0.8, 1e-07, 100), 1.927306992815166)
((0.2, 0.8, 1e-09, 100), 1.934044675901849)
((0.2, 0.7, 1e-10, 100), 1.850510852409722)
((0.2, 0.8, 1e-11, 100), 1.9341130345351627)
((0.2, 0.8, 1e-08, 100), 1.9334241411094095)
((0.2, 0.8, 1e-06, 100), 1.8735106181345678)
((0.2, 0.7, 0.1, 100), 1.1201293179952003)
((0.2, 0.8, 1e-13, 100), 1.9341137182289216)
((0.2, 0.8, 1e-05, 100), 1.6120346161081365)
((0.2, 0.8, 0.0001, 100), 1.217416884154096)
((0.2, 0.8, 0.001, 100), 1.0309990129624964)
((0.2, 0.9, 1e-15, 100), 2.1342932783219597)
((0.2, 0.8, 0.01, 100), 1.032227548164033)
((0.2, 0.8, 0.1, 100), 1.115067473126577)
((0.2, 0.9, 1e-13, 100), 2.1342932685102953)
((0.2, 0.9, 1e-11, 100), 2.134292278426595)
((0.2, 0.9, 1e-06, 100), 2.0490737664557273)
((0.2, 0.9, 1e-09, 100), 2.1341932969571342)
((0.2, 0.9, 0.0001, 100), 1.2643897841597818)
((0.2, 0.9, 1e-10, 100), 2.134283278708844)
((0.2, 0.9, 1e-14, 100), 2.1342932774766776)
((0.2, 0.9, 1e-08, 100), 2.1332951140321303)
((0.2, 0.9, 1e-07, 100), 2.1244726713447144)
((0.2, 0.9, 1e-05, 100), 1.7172902469045432)
((0.2, 0.9, 1e-12, 100), 2.134293178486126)
((0.2, 0.9, 0.1, 100), 1.1177645213101686)
((0.2, 0.9, 0.01, 100), 1.039268538350338)
((0.3, 0.1, 1e-15, 100), 1.7136755768890712)
((0.2, 0.9, 0.001, 100), 1.0423683262309864)
((0.3, 0.1, 1e-13, 100), 1.7136593070256008)
((0.3, 0.1, 1e-12, 100), 1.7135100977346558)
((0.3, 0.1, 1e-14, 100), 1.7136740572960893)
((0.3, 0.1, 1e-10, 100), 1.697913269720729)
((0.3, 0.1, 1e-09, 100), 1.6002978181016665)
((0.3, 0.1, 1e-06, 100), 0.9805674624606487)
((0.3, 0.1, 1e-07, 100), 1.0863005329959454)
((0.3, 0.1, 1e-08, 100), 1.340117874363883)
((0.3, 0.2, 1e-15, 100), 1.5882933383857694)
((0.3, 0.1, 0.0001, 100), 1.1288906864298192)
((0.3, 0.1, 0.1, 100), 1.1421705359910923)
((0.3, 0.1, 1e-05, 100), 1.0256555171074448)
((0.3, 0.1, 1e-11, 100), 1.7120271757620835)
((0.3, 0.1, 0.001, 100), 1.1566789856682047)
((0.3, 0.2, 1e-10, 100), 1.587862781401375)
((0.3, 0.1, 0.01, 100), 1.148085694200029)
((0.3, 0.2, 1e-08, 100), 1.5500727774426604)
((0.3, 0.2, 1e-11, 100), 1.5882502236604845)
((0.3, 0.2, 1e-12, 100), 1.588289016562036)
((0.3, 0.2, 1e-09, 100), 1.5840384970029173)
((0.3, 0.2, 1e-14, 100), 1.5882932873924365)
((0.3, 0.2, 1e-06, 100), 1.1126218313568161)
((0.3, 0.2, 1e-07, 100), 1.3798939614417236)
((0.3, 0.2, 1e-05, 100), 0.9778236453135536)
((0.3, 0.2, 0.0001, 100), 0.9997893627405547)
((0.3, 0.2, 0.01, 100), 1.1466647725230281)
((0.3, 0.2, 0.001, 100), 1.1022586073760734)
((0.3, 0.2, 1e-13, 100), 1.5882929038348117)
((0.3, 0.2, 0.1, 100), 1.1437767352012715)
((0.3, 0.3, 1e-15, 100), 1.5323514183846765)
((0.3, 0.3, 1e-14, 100), 1.5323514149414152)
((0.3, 0.3, 1e-13, 100), 1.5323513680443985)
((0.3, 0.3, 1e-12, 100), 1.5323509067052934)
((0.3, 0.3, 1e-11, 100), 1.5323462844217157)
((0.3, 0.3, 1e-10, 100), 1.5323000734090855)
((0.3, 0.3, 1e-09, 100), 1.531838701501838)
