Estimator: NGRC
Total number of parameters: 480
Time started: 20240615-143133
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: None
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 0.03269457817077637 seconds.
Estimated time to finish is 7.846698760986328 seconds.
--------------------------------------------------------------------------------
((4, 3, 1e-09, 0, True), nan)
((3, 4, 1e-09, 0, True), 0.10108796449157523)
((3, 5, 0.001, 0, True), 0.8089827896379749)
((3, 5, 0.01, 0, True), nan)
((4, 3, 1e-08, 0, True), nan)
((3, 4, 0.001, 0, True), 0.2652818057673013)
((3, 4, 0.1, 0, True), nan)
((4, 3, 1e-06, 0, True), nan)
((4, 3, 0.0001, 0, True), nan)
((4, 3, 0.001, 0, True), 0.09036145528222823)
((4, 3, 0.1, 0, True), nan)
((4, 3, 0.01, 0, True), 0.3123370176118484)
((4, 3, 1e-05, 0, True), nan)
((3, 5, 1e-14, 0, True), 0.0732007122047365)
((3, 5, 0.1, 0, True), nan)
((3, 5, 1e-07, 0, True), nan)
((3, 5, 1e-05, 0, True), nan)
((4, 3, 1e-14, 0, True), nan)
((4, 3, 1e-15, 0, True), nan)
((4, 3, 1e-13, 0, True), nan)
((4, 3, 1e-12, 0, True), nan)
((3, 5, 0.0001, 0, True), nan)
((5, 2, 1e-15, 0, True), nan)
((5, 2, 1e-14, 0, True), nan)
((5, 2, 1e-13, 0, True), nan)
((4, 3, 1e-07, 0, True), nan)
((5, 2, 1e-12, 0, True), nan)
((5, 2, 1e-11, 0, True), nan)
((4, 4, 1e-15, 0, True), 0.08770075843973471)
((4, 4, 1e-14, 0, True), 0.08770075843973471)
((4, 4, 1e-12, 0, True), 0.08438334826845785)
((4, 4, 1e-13, 0, True), 0.08770075843973471)
((4, 4, 1e-11, 0, True), 0.09025686172858419)
((5, 2, 1e-09, 0, True), nan)
((4, 4, 1e-07, 0, True), nan)
