Estimator: Volterra
Total number of parameters: 1215
Time started: 20240613-083756
Validation parameters: [2500, 500, 500] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 22.753965377807617 seconds.
Estimated time to finish is 273.0475845336914 seconds.
--------------------------------------------------------------------------------
((0.1, 0.7, 0.001, 100), 53.15800501701288)
((0.1, 0.7, 0.1, 100), 100.23518005868999)
((0.1, 0.7, 0.01, 100), 109.00964999893039)
((0.1, 0.8, 1e-15, 100), 1.5730127267143866e+21)
((0.1, 0.8, 1e-12, 100), 0.021769799051021013)
((0.1, 0.8, 1e-08, 100), 0.01888770280419805)
((0.1, 0.8, 0.1, 100), 100.9247220821981)
((0.1, 0.8, 1e-09, 100), 0.019414377491061553)
((0.1, 0.8, 1e-10, 100), 0.018258019541152193)
((0.1, 0.8, 1e-11, 100), 0.002941065454577663)
((0.1, 0.8, 1e-13, 100), 3.252108418056799)
((0.1, 0.9, 1e-05, 100), 58.98638485620056)
((0.1, 0.8, 0.001, 100), 51.141378927754296)
((0.1, 0.8, 1e-06, 100), 3.077616409426283)
((0.1, 0.9, 0.001, 100), 52.90452065964831)
((0.1, 0.9, 0.0001, 100), 73.06490576215475)
((0.1, 0.8, 1e-07, 100), 0.5806324045191253)
((0.2, 0.1, 1e-05, 100), 93.36087740025297)
((0.1, 0.8, 1e-14, 100), 118.55905387485785)
((0.2, 0.1, 0.001, 100), 96.00911378697936)
((0.1, 0.9, 1e-07, 100), 0.8349958437333632)
((0.2, 0.1, 0.0001, 100), 107.57315606736552)
((0.1, 0.8, 1e-05, 100), 53.763476367225344)
((0.2, 0.1, 0.01, 100), 93.57224986924123)
((0.2, 0.1, 1e-06, 100), 59.24166402985328)
((0.2, 0.1, 0.1, 100), 95.23418044434975)
((0.1, 0.9, 1e-10, 100), 0.059679560848199996)
((0.1, 0.8, 0.0001, 100), 70.0860033024741)
((0.1, 0.9, 1e-09, 100), 0.05371158348999449)
((0.1, 0.9, 0.01, 100), 104.81893326902349)
((0.1, 0.9, 1e-08, 100), 0.023624307771393887)
((0.2, 0.1, 1e-07, 100), 73.67939939604237)
((0.1, 0.9, 1e-12, 100), 0.0005469180898164673)
((0.1, 0.9, 1e-11, 100), 0.006417652851506267)
