Estimator: Volterra
Total number of parameters: 1215
Time started: 20240612-091137
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 11.880665063858032 seconds.
Estimated time to finish is 142.5679807662964 seconds.
--------------------------------------------------------------------------------
((0.1, 0.6, 1e-14, 100), 6.899236108528842e+26)
((0.1, 0.5, 1e-15, 100), 7.807244345871419e+25)
((0.1, 0.7, 0.0001, 100), 0.06231493769448378)
((0.1, 0.8, 1e-09, 100), 315461851687.7263)
((0.1, 0.7, 1e-05, 100), 0.06022330624961131)
((0.1, 0.7, 0.001, 100), 0.055250864742926106)
((0.1, 0.8, 0.0001, 100), 0.06322976113985179)
((0.1, 0.8, 1e-05, 100), 0.06296850019915248)
((0.1, 0.7, 0.1, 100), 0.051690305748837775)
((0.1, 0.7, 0.01, 100), 0.05226718890438751)
((0.1, 0.8, 1e-07, 100), 0.05201799765857905)
((0.1, 0.8, 0.001, 100), 0.05516725531769593)
((0.1, 0.8, 1e-11, 100), 5.603516192886469e+16)
((0.1, 0.8, 1e-10, 100), 1072450217401965.6)
((0.1, 0.8, 1e-08, 100), 1497512924481.5388)
((0.1, 0.8, 1e-12, 100), 202613279974642.47)
((0.1, 0.9, 1e-12, 100), 1.988615160966366e+19)
((0.1, 0.9, 1e-13, 100), 4.656650325681204e+18)
((0.1, 0.8, 0.01, 100), 0.05213436585973634)
((0.1, 0.9, 0.1, 100), 0.05155690825581525)
((0.2, 0.1, 1e-06, 100), 0.04865165307588627)
((0.1, 0.8, 0.1, 100), 0.05162678977506898)
((0.1, 0.9, 1e-07, 100), 0.05561238607048259)
((0.1, 0.8, 1e-06, 100), 0.057785193082411944)
((0.1, 0.9, 1e-05, 100), 0.06723914086380237)
((0.1, 0.9, 1e-08, 100), 177987755278.46857)
((0.1, 0.8, 1e-13, 100), 9.048736242303372e+19)
((0.1, 0.9, 0.001, 100), 0.05419547490309186)
((0.1, 0.9, 1e-06, 100), 0.06201822603924686)
((0.1, 0.9, 1e-11, 100), 2.761660294705147e+17)
((0.1, 0.8, 1e-14, 100), 1.443394508108624e+25)
((0.2, 0.1, 0.0001, 100), 0.052139386979381516)
((0.2, 0.1, 1e-09, 100), 0.07890960521615495)
((0.1, 0.9, 0.01, 100), 0.05184374451527286)
((0.2, 0.1, 0.001, 100), 0.052702379510686626)
((0.1, 0.9, 0.0001, 100), 0.06151869665230235)
((0.1, 0.9, 1e-09, 100), 1212429820345.396)
((0.2, 0.1, 1e-13, 100), 4.011833582357744e+25)
((0.1, 0.9, 1e-10, 100), 1.986422375004558e+16)
((0.2, 0.1, 1e-11, 100), 0.04764119107148193)
((0.2, 0.1, 1e-08, 100), 0.11151990363537337)
((0.2, 0.1, 1e-12, 100), 8.574318476719918e+21)
((0.2, 0.1, 1e-07, 100), 0.05286832322162975)
((0.1, 0.8, 1e-15, 100), 2.9678427925669223e+25)
((0.2, 0.1, 1e-05, 100), 0.049184297380001345)
((0.2, 0.1, 1e-10, 100), 0.05071344055059958)
((0.2, 0.1, 0.1, 100), 0.05074353478673884)
((0.2, 0.1, 0.01, 100), 0.05136381703207995)
((0.1, 0.9, 1e-14, 100), 6.468879187222987e+25)
((0.1, 0.9, 1e-15, 100), 5.2658686103003165e+22)
((0.2, 0.1, 1e-14, 100), 1.5716606603901525e+28)
((0.2, 0.1, 1e-15, 100), 1.390786377683638e+24)
((0.2, 0.2, 1e-09, 100), 0.05995881343429443)
((0.2, 0.2, 1e-13, 100), 9.831478994246856e+19)
((0.2, 0.2, 1e-08, 100), 0.09097680779860756)
((0.2, 0.2, 1e-07, 100), 0.07510923988500097)
((0.2, 0.2, 1e-11, 100), 7647284532628114.0)
((0.2, 0.2, 1e-12, 100), 3.781512657195401e+18)
((0.2, 0.2, 1e-10, 100), 248241993915276.25)
((0.2, 0.2, 0.1, 100), 0.05085901750350824)
((0.2, 0.2, 0.0001, 100), 0.05095182084753082)
