### polynomial kernel CV run with the old poly kernel functions to verify that they match with the old 
### polynomial kernel CV run and that the issue is after numba was added to polykernel funcs and that choice
### of whether to use numba should be consistent. 

Estimator: PolynomialKernel
Total number of parameters: 150
Time started: 20240731-120040
Validation parameters: [2500, 500, 500] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: MinMax
Normalisation type for targets: None
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 96.22879457473755 seconds.
Estimated time to finish is 1443.4319186210632 seconds.
--------------------------------------------------------------------------------
((2, 10, 1e-07, 0), 0.019820610165666372)
((2, 9, 1e-14, 0), nan)
((2, 9, 1e-06, 0), 0.00023218190183018294)
((2, 9, 1e-07, 0), 0.019388378863571858)
((2, 9, 1e-10, 0), 68.88480541184337)
((2, 9, 0.001, 0), 0.06748668268206405)
((2, 9, 1e-09, 0), 16.477073115147796)
((2, 9, 0.01, 0), 3.855349444983751)
((2, 9, 1e-08, 0), 1.7965520490386013)
((2, 9, 1e-15, 0), nan)
((2, 9, 1e-12, 0), nan)
((2, 9, 1e-05, 0), 0.0004185896683951594)
((2, 9, 1e-13, 0), nan)
((2, 9, 0.0001, 0), 0.005568559080622944)
((2, 10, 1e-11, 0), nan)
((2, 10, 1e-14, 0), nan)
((2, 10, 1e-15, 0), nan)
((2, 10, 1e-13, 0), nan)
((2, 10, 1e-10, 0), 29.729886296046285)
((2, 10, 0.01, 0), 3.9664310861560512)
((2, 10, 1e-09, 0), 11.585576033079098)
((2, 10, 1e-06, 0), 0.0005362542852706853)
((2, 10, 0.001, 0), 0.09178032109569273)
((2, 10, 1e-12, 0), nan)
((2, 10, 1e-08, 0), 21.6103832400032)
((2, 10, 1e-05, 0), 0.000597405687902141)
((2, 10, 0.1, 0), 55.86240909496155)
((2, 10, 0.0001, 0), 0.008040353658507884)
--------------------------------------------------------------------------------
Cross validation total time taken: 205.62521243095398 seconds.
